Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.07749938964844,68.40699768066406,67.07749938964844,68.36849975585938,68.20101165771484,28132000
2020-01-03,67.39299774169922,68.625,67.2771987915039,68.03299713134766,67.86632537841797,23728000
2020-01-06,67.5,69.82499694824219,67.5,69.71050262451172,69.53972625732422,34646000
2020-01-07,69.89700317382812,70.14949798583984,69.51899719238281,69.66699981689453,69.49633026123047,30054000
2020-01-08,69.60399627685547,70.5790023803711,69.54199981689453,70.21600341796875,70.04399108886719,30560000
2020-01-09,71.02850341796875,71.36650085449219,70.51349639892578,70.99150085449219,70.81758117675781,30018000
2020-01-10,71.37799835205078,71.74645233154297,70.9175033569336,71.48650360107422,71.3113784790039,36414000
2020-01-13,71.80650329589844,72.0260009765625,71.3010025024414,71.96150207519531,71.78520965576172,33046000
2020-01-14,71.95050048828125,72.08999633789062,71.41850280761719,71.54399871826172,71.36872863769531,31178000
2020-01-15,71.510498046875,72.06974792480469,71.510498046875,71.95999908447266,71.78370666503906,25654000
2020-01-16,72.37200164794922,72.59950256347656,72.0459976196289,72.58499908447266,72.40718078613281,23474000
2020-01-17,73.14550018310547,74.06475067138672,72.91100311279297,74.01950073242188,73.83816528320312,47924000
2020-01-21,73.95600128173828,74.59249877929688,73.55999755859375,74.22000122070312,74.03817749023438,40734000
2020-01-22,74.55000305175781,75.16069793701172,74.24649810791016,74.29750061035156,74.11548614501953,32216000
2020-01-23,74.38200378417969,74.7760009765625,74.1050033569336,74.3324966430664,74.15039825439453,27024000
2020-01-24,74.67949676513672,74.77474975585938,73.26249694824219,73.33550262451172,73.15584564208984,35692000
2020-01-27,71.55000305175781,71.90350341796875,71.05999755859375,71.69499969482422,71.51936340332031,35104000
2020-01-28,72.1500015258789,72.80000305175781,71.62349700927734,72.62799835205078,72.45008087158203,31548000
2020-01-29,72.94000244140625,73.27149963378906,72.33699798583984,72.93150329589844,72.7528305053711,21554000
2020-01-30,71.99800109863281,72.86399841308594,71.81999969482422,72.79199981689453,72.6136703491211,26788000
2020-01-31,73.44499969482422,73.50650024414062,71.42649841308594,71.71150207519531,71.53582000732422,48344000
2020-02-03,73.0999984741211,74.5,72.94950103759766,74.2969970703125,74.11498260498047,60736000
2020-02-04,72.85350036621094,73.4749984741211,71.31500244140625,72.35350036621094,72.1762466430664,78660000
2020-02-05,73.12100219726562,73.19200134277344,71.52799987792969,72.4114990234375,72.2341079711914,39724000
2020-02-06,72.5165023803711,74.0999984741211,72.47850036621094,73.8115005493164,73.63067626953125,33588000
2020-02-07,73.36499786376953,74.29199981689453,73.31749725341797,73.96150207519531,73.78031158447266,23446000
2020-02-10,73.71600341796875,75.4749984741211,73.71600341796875,75.43399810791016,75.24920654296875,28398000
2020-02-11,75.59049987792969,76.48149871826172,75.28189849853516,75.43949890136719,75.25469207763672,26892000
2020-02-12,75.7239990234375,76.03475189208984,75.40550231933594,75.91349792480469,75.72752380371094,23352000
2020-02-13,75.6344985961914,76.35900115966797,75.2300033569336,75.73300170898438,75.54747009277344,18590000
